folder,quadrant,ground_truth_filename
AF_Stacks_20251006_200301,Q1,diag_X_V59.210.png
AF_Stacks_20251006_200301,Q2,diag_X_V51.810.png
AF_Stacks_20251006_200301,Q3,diag_X_V56.200.png
AF_Stacks_20251006_200301,Q4,diag_X+1_V56.240.png
AF_Stacks_20251006_200337,Q1,diag_X+1_V59.210.png
AF_Stacks_20251006_200337,Q2,diag_X_V51.810.png
AF_Stacks_20251006_200337,Q3,diag_X+1_V56.200.png
AF_Stacks_20251006_200337,Q4,diag_X-1_V55.240.png
AF_Stacks_20251006_200443,Q1,diag_X_V59.210.png
AF_Stacks_20251006_200443,Q2,diag_X-1_V51.810.png
AF_Stacks_20251006_200443,Q3,diag_X+1_V56.200.png
AF_Stacks_20251006_200443,Q4,diag_X-1_V55.240.png
AF_Stacks_20251006_200516,Q1,diag_X-1_V59.210.png
AF_Stacks_20251006_200516,Q2,diag_X-1_V52.810.png
AF_Stacks_20251006_200516,Q3,diag_X+1_V56.200.png
AF_Stacks_20251006_200516,Q4,diag_X-1_V56.240.png
AF_Stacks_20251006_200615,Q1,diag_X_V59.020.png
AF_Stacks_20251006_200615,Q2,diag_X_V51.700.png
AF_Stacks_20251006_200615,Q3,diag_X_V55.900.png
AF_Stacks_20251006_200615,Q4,diag_X_V54.890.png
AF_Stacks_20251006_200650,Q1,diag_X_V59.020.png
AF_Stacks_20251006_200650,Q2,diag_X+1_V51.700.png
AF_Stacks_20251006_200650,Q3,diag_X-1_V55.900.png
AF_Stacks_20251006_200650,Q4,diag_X_V54.890.png
AF_Stacks_20251006_200731,Q1,diag_X+1_V59.020.png
AF_Stacks_20251006_200731,Q2,diag_X_V49.700.png
AF_Stacks_20251006_200731,Q3,diag_X-1_V55.900.png
AF_Stacks_20251006_200731,Q4,diag_X_V54.890.png
AF_Stacks_20251006_201026,Q1,diag_X_V59.020.png
AF_Stacks_20251006_201026,Q2,diag_X_V51.850.png
AF_Stacks_20251006_201026,Q3,diag_X_V56.180.png
AF_Stacks_20251006_201026,Q4,diag_X_V55.240.png
AF_Stacks_20251006_201100,Q1,diag_X_V59.020.png
AF_Stacks_20251006_201100,Q2,diag_X-1_V51.850.png
AF_Stacks_20251006_201100,Q3,diag_X_V56.180.png
AF_Stacks_20251006_201100,Q4,diag_X-1_V55.240.png
AF_Stacks_20251006_201145,Q1,diag_X+1_V59.020.png
AF_Stacks_20251006_201145,Q2,diag_X-1_V52.850.png
AF_Stacks_20251006_201145,Q3,diag_X-1_V56.180.png
AF_Stacks_20251006_201145,Q4,diag_X_V57.240.png
